inst,actual,predicted,error,1,2,3
1,3:Iris-virginica,3:Iris-virginica,,0,0,*1
2,3:Iris-virginica,3:Iris-virginica,,0,0.062,*0.938
3,3:Iris-virginica,3:Iris-virginica,,0,0,*1
4,3:Iris-virginica,3:Iris-virginica,,0,0.001,*0.999
5,3:Iris-virginica,3:Iris-virginica,,0,0,*1
6,1:Iris-setosa,1:Iris-setosa,,*1,0,0
7,1:Iris-setosa,1:Iris-setosa,,*1,0,0
8,1:Iris-setosa,1:Iris-setosa,,*1,0,0
9,1:Iris-setosa,1:Iris-setosa,,*1,0,0
10,1:Iris-setosa,1:Iris-setosa,,*1,0,0
11,2:Iris-versicolor,2:Iris-versicolor,,0,*1,0
12,2:Iris-versicolor,2:Iris-versicolor,,0,*0.875,0.125
13,2:Iris-versicolor,2:Iris-versicolor,,0,*1,0
14,2:Iris-versicolor,2:Iris-versicolor,,0,*0.999,0.001
15,2:Iris-versicolor,2:Iris-versicolor,,0,*0.59,0.41
1,3:Iris-virginica,3:Iris-virginica,,0,0,*1
2,3:Iris-virginica,3:Iris-virginica,,0,0,*1
3,3:Iris-virginica,3:Iris-virginica,,0,0,*1
4,3:Iris-virginica,3:Iris-virginica,,0,0,*1
5,3:Iris-virginica,3:Iris-virginica,,0,0,*1
6,1:Iris-setosa,1:Iris-setosa,,*1,0,0
7,1:Iris-setosa,1:Iris-setosa,,*1,0,0
8,1:Iris-setosa,1:Iris-setosa,,*1,0,0
9,1:Iris-setosa,1:Iris-setosa,,*1,0,0
10,1:Iris-setosa,1:Iris-setosa,,*1,0,0
11,2:Iris-versicolor,2:Iris-versicolor,,0,*0.994,0.006
12,2:Iris-versicolor,2:Iris-versicolor,,0,*1,0
13,2:Iris-versicolor,2:Iris-versicolor,,0,*1,0
14,2:Iris-versicolor,2:Iris-versicolor,,0,*0.99,0.01
15,2:Iris-versicolor,2:Iris-versicolor,,0,*1,0
1,3:Iris-virginica,3:Iris-virginica,,0,0,*1
2,3:Iris-virginica,3:Iris-virginica,,0,0,*1
3,3:Iris-virginica,3:Iris-virginica,,0,0,*1
4,3:Iris-virginica,3:Iris-virginica,,0,0.001,*0.999
5,3:Iris-virginica,3:Iris-virginica,,0,0,*1
6,1:Iris-setosa,1:Iris-setosa,,*1,0,0
7,1:Iris-setosa,1:Iris-setosa,,*1,0,0
8,1:Iris-setosa,1:Iris-setosa,,*1,0,0
9,1:Iris-setosa,1:Iris-setosa,,*1,0,0
10,1:Iris-setosa,1:Iris-setosa,,*1,0,0
11,2:Iris-versicolor,2:Iris-versicolor,,0,*0.947,0.053
12,2:Iris-versicolor,2:Iris-versicolor,,0,*1,0
13,2:Iris-versicolor,2:Iris-versicolor,,0,*1,0
14,2:Iris-versicolor,2:Iris-versicolor,,0,*0.928,0.072
15,2:Iris-versicolor,2:Iris-versicolor,,0,*1,0
1,3:Iris-virginica,3:Iris-virginica,,0,0,*1
2,3:Iris-virginica,3:Iris-virginica,,0,0.064,*0.936
3,3:Iris-virginica,3:Iris-virginica,,0,0,*1
4,3:Iris-virginica,3:Iris-virginica,,0,0,*1
5,3:Iris-virginica,3:Iris-virginica,,0,0,*1
6,1:Iris-setosa,1:Iris-setosa,,*1,0,0
7,1:Iris-setosa,1:Iris-setosa,,*1,0,0
8,1:Iris-setosa,1:Iris-setosa,,*1,0,0
9,1:Iris-setosa,1:Iris-setosa,,*1,0,0
10,1:Iris-setosa,1:Iris-setosa,,*1,0,0
11,2:Iris-versicolor,2:Iris-versicolor,,0,*1,0
12,2:Iris-versicolor,2:Iris-versicolor,,0,*0.99,0.01
13,2:Iris-versicolor,2:Iris-versicolor,,0,*1,0
14,2:Iris-versicolor,2:Iris-versicolor,,0,*0.99,0.01
15,2:Iris-versicolor,2:Iris-versicolor,,0,*0.877,0.123
1,3:Iris-virginica,3:Iris-virginica,,0,0,*1
2,3:Iris-virginica,3:Iris-virginica,,0,0,*1
3,3:Iris-virginica,3:Iris-virginica,,0,0.001,*0.999
4,3:Iris-virginica,3:Iris-virginica,,0,0,*1
5,3:Iris-virginica,3:Iris-virginica,,0,0,*1
6,1:Iris-setosa,1:Iris-setosa,,*1,0,0
7,1:Iris-setosa,1:Iris-setosa,,*1,0,0
8,1:Iris-setosa,1:Iris-setosa,,*1,0,0
